id,name,state,census_region,pop_dens,pop_dens4,pop_dens6,pct_black,pop,female,white,black,travel_time,land_area,hh_income,su_gun4,su_gun6,fips,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,per_dem_2012,per_gop_2012,diff_2012,winner,partywinner16,winner12,partywinner12,flipped
02013,Aleutians East Borough,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 5.0,10.0)",3360,32.6,24.7,7.7,4.8,6981.94,61250,"[ 0, 5)","[ 0, 4)",2013,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02016,Aleutians West Census Area,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 5.0,10.0)",5750,32.3,40.5,7.4,6.4,4390.28,81853,"[ 8,11)","[10,12)",2016,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02020,Anchorage Municipality,AK,West,"[  100,  500)","[118,71672]","[ 82,  215)","[ 5.0,10.0)",301010,48.6,66.6,6.3,19.4,1704.68,77454,"[ 8,11)","[10,12)",2020,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02050,Bethel Census Area,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",17868,48.3,12.1,0.7,7.4,40570,51689,"[11,54]","[12,54]",2050,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02060,Bristol Bay Borough,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",957,44.6,47.3,0,10.2,503.84,79531,"[11,54]","[12,54]",2060,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02068,Denali Borough,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",1921,45.3,89,1.3,15.2,12751.41,72500,"[ 0, 5)","[ 0, 4)",2068,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02070,Dillingham Census Area,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",4988,48.1,18.4,0.4,8.7,18568.78,54150,"[11,54]","[12,54]",2070,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02090,Fairbanks North Star Borough,AK,West,"[   10,   50)","[  0,   17)","[  9,   25)","[ 5.0,10.0)",99357,46.2,77.7,5.5,19.2,7338.21,69223,"[11,54]","[10,12)",2090,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02100,Haines Borough,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",2566,49.8,81.3,0.5,11.7,2318.6,52866,"[ 0, 5)","[ 0, 4)",2100,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
02105,Hoonah-Angoon Census Area,AK,West,"[    0,   10)","[  0,   17)","[  0,    9)","[ 0.0, 2.0)",2082,46.9,49.4,0.6,9.7,7524.92,49545,"[ 0, 5)","[ 0, 4)",2105,93003,130413,246588,0.377159472,0.528870018,37410,NA,NA,NA,Trump,Republican,Romney,Republican,No
